Latitude,Longitude
253353044,854236533
253353089,854236622
253352867,854236356
253352644,854236356
253352689,854236356
253352689,854236444
253352778,854236267
253353089,854236178
253353267,854236089
253353222,854236000
253353378,854235822
253353733,854235733
253353644,854236089
253353578,854236000
253353311,854235822
253353311,854235822
253353178,854236000
253353222,854236178
253353289,854236089
253352956,854235644
253352911,854235556
253353022,854235200
253353000,854235111
253353044,854235111
253353044,854235111
253353089,854235644
253353133,854235644
253353111,854235733
253353089,854235733
253353089,854235733
253353089,854235733
253353089,854235733
253353089,854235733
253353089,854235733
253352889,854236000
253352822,854236089
253352822,854236089
253352822,854236089
253352822,854236089
253352822,854236089
253352822,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253352933,854236089
253353089,854236533
253353044,854236533
253353022,854236444
253353022,854236444
253353022,854236444
253353022,854236444
253352956,854236267
253352933,854236178
253352933,854236178
253353311,854235556
253353311,854235556
253353289,854234933
253353267,854235022
253353333,854235111
253353333,854235111
253353333,854235111
253353333,854235111
253353578,854235733
253353444,854235556
253353378,854235289
253353378,854235289
253353044,854235378
253353044,854235289
253353044,854235289
253353156,854235289
253353133,854235111
253353133,854235111
253353133,854235111
253353133,854235111
253353133,854235111
253353133,854235111
253353133,854235111
253353044,854235556
253353022,854235556
253352933,854235644
253352933,854235644
253353844,854235644
253353689,854235644
253353667,854235644
253353844,854235644
253353689,854235644
253353689,854235644
253353689,854235644
253353956,854235644
253353689,854235644
253353644,854235644
253353644,854235644
253353511,854235467
253353333,854235378
253353778,854235644
253354111,854235911
253354422,854236089
253354156,854236356
253353956,854236444
253353956,854236444
253353956,854236444
253353956,854236444
253353956,854236444
253353956,854236444
253353956,854236444
253353356,854236711
253353089,854236978
253353378,854237067
253353044,854237333
253352644,854237511
253352511,854238044
253352556,854238311
253352400,854238489
253352422,854238578
253352267,854239200
253352289,854239200
253352333,854239733
253352378,854240089
253352244,854239467
253352244,854239467
253352356,854240089
253352067,854240533
253352244,854241067
253352156,854241156
253352289,854242044
253352267,854243022
253352200,854243289
253352089,854243556
253351933,854243733
253352067,854243378
253352244,854241778
253352378,854241600
253352378,854241600
253352422,854242133
253352422,854242311
253352533,854242667
253352667,854243111
253352911,854243289
253352578,854243200
253352511,854243022
253352956,854243289
253353044,854243822
253352644,854243822
253352711,854243733
253352911,854243556
253352489,854243644
253353089,854244089
253353644,854244000
253353778,854244089
253354089,854244089
253354756,854243733
253355111,854243556
253355533,854243556
253355800,854243911
253356178,854244178
253356600,854244267
253357044,854244089
253357422,854243822
253357578,854243733
253357222,854243644
253357400,854243467
253357667,854243378
253357267,854242933
253357378,854242933
253357711,854242667
253358000,854242933
253357622,854243111
253357622,854242756
253357822,854242400
253357667,854241867
253357644,854241600
253357667,854241067
253357667,854240533
253357689,854240089
253357689,854241156
253357533,854240622
253357356,854240533
253357133,854240000
253357267,854239822
253357600,854239733
253356978,854239467
253356600,854239556
253356111,854239467
253355933,854239822
253355556,854239911
253355267,854240000
253355022,854240089
253354711,854240089
253354311,854239911
253353778,854239556
253353422,854239467
253353089,854239111
253352600,854238933
253352600,854238933
253352600,854238933
253353778,854239467
253353956,854239467
253353422,854239467
253352867,854238933
253352511,854238933
253353267,854239022
253353111,854239467
253352911,854239644
253352467,854240000
253352511,854239911
253352511,854240089
253352644,854240889
253352556,854241067
253352556,854241067
253352422,854241689
253352511,854242133
253352733,854242667
253352689,854243111
253352356,854242933
253352578,854243289
253352978,854243733
253353444,854243733
253354000,854243467
253354356,854243467
253354867,854243556
253355400,854243378
253355711,854243733
253356200,854243733
253356600,854243822
253356911,854243911
253357444,854243644
253357022,854243644
253357000,854243556
253357133,854243644
253357267,854242933
253357400,854242489
253357489,854242133
253357244,854242311
253357644,854242133
253357533,854241778
253357267,854241067
253357289,854240889
253357333,854240356
253357200,854240178
253357378,854240533
253357133,854240444
253356933,854240267
253356533,854240000
253356111,854239822
253355578,854239822
253355222,854239911
253354867,854239911
253354578,854240000
253354111,854240000
253353644,854239822
253353311,854239644
253353244,854239556
253354111,854239733
253354000,854239733
253353489,854239556
253353000,854239467
253352889,854239556
253352956,854239733
253352978,854240533
253352778,854240800
253352889,854241156
253352911,854241511
253352756,854241956
253352689,854242489
253352644,854242933
253352422,854242578
253352711,854242578
253352911,854242933
253353444,854243200
253353867,854243200
253354356,854243111
253354911,854243022
253355444,854243289
253355756,854243467
253356111,854243644
253356111,854243644
253356756,854243467
253357267,854243378
253356844,854243822
253356800,854243822
253357089,854243200
253357000,854242667
253357000,854242133
253357089,854241600
253357000,854241156
253356933,854240533
253356867,854240267
253357311,854240533
253356822,854240622
253356289,854240444
253355844,854240356
253355422,854240089
253355244,854240000
253354667,854239822
253354178,854239822
253354289,854239822
253354556,854239911
253354622,854239911
253354622,854239911
253354578,854240089
253353778,854240000
253353422,854240089
253353156,854240089
253353356,854239822
253353267,854240533
253353378,854240978
253353422,854241600
253353378,854241956
253353311,854242489
253356489,854242756
253357000,854242844
253357000,854243022
253356844,854242667
253356889,854242222
253357067,854241778
253357000,854241600
253356867,854241067
253356933,854240622
253357156,854240889
253356600,854240711
253356378,854240978
253356111,854240889
253356067,854240711
253355644,854240800
253355644,854240800
253355067,854240533
253354733,854240533
253354311,854240622
253353911,854240711
253353000,854241067
253352911,854242133
253352733,854242400
253353022,854242311
253353644,854242578
253353956,854242578
253354178,854242933
253354222,854242933
253354067,854243111
253354600,854242844
253355289,854242756
253355822,854242933
253356244,854242844
253356733,854242756
253356133,854242489
253356333,854242756
253356978,854243289
253357067,854243556
253357067,854243556
253357067,854243556
253357067,854243556
253357067,854243556
253357067,854243556
253356778,854243467
253356600,854244000
253356511,854244889
253356533,854244889
253356533,854244889
253356533,854244889
